成因一级分类,CWE,count,pct_within_(一级),sample_cves
安全逻辑缺陷,CWE-863,8,0.2857,CVE-2019-11247;CVE-2021-43858;CVE-2022-21701;CVE-2022-46167;CVE-2023-22482
配置错误,CWE-269,6,0.3529,CVE-2022-29179;CVE-2023-22645;CVE-2023-29018;CVE-2023-30617;CVE-2024-33522
安全逻辑缺陷,CWE-20,5,0.1786,CVE-2019-11247;CVE-2023-3676;CVE-2023-3893;CVE-2023-3955;CVE-2023-5528
安全逻辑缺陷,CWE-269,5,0.1786,CVE-2021-43858;CVE-2023-22651;CVE-2023-30622;CVE-2023-50726;CVE-2023-5408
安全逻辑缺陷,CWE-200,4,0.1429,CVE-2022-24768;CVE-2022-29165;CVE-2023-46254;CVE-2024-43803
代码注入,CWE-22,3,0.5000,CVE-2022-24730;CVE-2022-24877;CVE-2024-40628
安全逻辑缺陷,CWE-287,3,0.1071,CVE-2022-23652;CVE-2022-29165;CVE-2023-48312
代码注入,CWE-94,2,0.3333,CVE-2022-24817;CVE-2022-29171
安全逻辑缺陷,CWE-862,2,0.0714,CVE-2017-1000056;CVE-2022-24768
配置错误,CWE-266,2,0.1176,CVE-2020-1742;CVE-2024-56513
配置错误,CWE-732,2,0.1176,CVE-2020-1742;CVE-2023-30512
配置错误,CWE-863,2,0.1176,CVE-2023-26484;CVE-2023-30840
代码注入,CWE-284,1,0.1667,CVE-2022-24730
代码注入,CWE-36,1,0.1667,CVE-2022-24877
代码注入,CWE-74,1,0.1667,CVE-2022-29171
代码注入,CWE-78,1,0.1667,CVE-2021-41254
代码注入,CWE-863,1,0.1667,CVE-2022-24730
安全逻辑缺陷,CWE-22,1,0.0357,CVE-2024-40629
安全逻辑缺陷,CWE-250,1,0.0357,CVE-2025-32445
安全逻辑缺陷,CWE-270,1,0.0357,CVE-2018-1000400
安全逻辑缺陷,CWE-276,1,0.0357,CVE-2023-22651
安全逻辑缺陷,CWE-285,1,0.0357,CVE-2024-48921
安全逻辑缺陷,CWE-290,1,0.0357,CVE-2022-29165
安全逻辑缺陷,CWE-601,1,0.0357,CVE-2020-8559
安全逻辑缺陷,CWE-653,1,0.0357,CVE-2024-43803
安全逻辑缺陷,CWE-669,1,0.0357,CVE-2020-15257
安全逻辑缺陷,CWE-79,1,0.0357,CVE-2022-31102
敏感信息泄露,CWE-200,1,0.2500,CVE-2019-3869
敏感信息泄露,CWE-214,1,0.2500,CVE-2019-3869
敏感信息泄露,CWE-497,1,0.2500,CVE-2022-1902
敏感信息泄露,CWE-532,1,0.2500,CVE-2019-10165
敏感信息泄露,CWE-668,1,0.2500,CVE-2022-1902
敏感信息泄露,CWE-922,1,0.2500,CVE-2025-2241
配置错误,CWE-200,1,0.0588,CVE-2018-5256
配置错误,CWE-250,1,0.0588,CVE-2023-30617
配置错误,CWE-268,1,0.0588,CVE-2023-2250
配置错误,CWE-284,1,0.0588,CVE-2020-4062
配置错误,CWE-285,1,0.0588,CVE-2025-24784
配置错误,CWE-327,1,0.0588,CVE-2024-31989
配置错误,CWE-358,1,0.0588,CVE-2018-0268
