type,key,dimension,count,avg_rank,first_count,min_rank,max_rank,var_rank
method,all,有效性,78064,7.146341463414634,12544,1,20,22.182314448677726
method,all,无干扰性,78064,9.346484935437589,5544,1,20,30.321124660098274
method,all,可部署性,78064,9.754662840746054,5712,1,20,33.81498901830095
method,no_cot,有效性,78176,12.242120343839542,560,1,20,30.821033899547533
method,no_cot,无干扰性,78120,10.678136200716846,4760,1,20,34.40894849757368
method,no_cot,可部署性,78120,9.834408602150537,7000,1,20,35.45860099433679
method,no_rag,有效性,78064,8.693687230989957,2072,1,20,22.575469474622146
method,no_rag,无干扰性,78120,10.23942652329749,3472,1,20,31.661671355713736
method,no_rag,可部署性,78120,10.957706093189964,1624,1,20,31.13727932580146
method,no_feedback,有效性,78120,13.903225806451612,448,1,20,28.28525841137888
method,no_feedback,无干扰性,78120,11.72831541218638,1848,1,20,33.62726275355926
method,no_feedback,可部署性,78120,11.445878136200717,1288,1,20,30.446353977976653
profile,ali-qwen,有效性,62496,12.841397849462366,0,2,20,26.69258729332502
profile,ali-qwen,无干扰性,62496,9.436379928315413,4704,1,20,32.824805533068485
profile,ali-qwen,可部署性,62496,8.67383512544803,7560,1,20,31.32013977210215
profile,deepseek,有效性,62552,11.511190689346464,280,1,20,23.571271366502234
profile,deepseek,无干扰性,62496,8.380824372759857,4424,1,20,28.364829427936392
profile,deepseek,可部署性,62496,6.799283154121864,5880,1,20,23.57261597358974
profile,glm4.5,有效性,62496,10.872759856630825,168,1,20,23.58954471295529
profile,glm4.5,无干扰性,62496,10.919354838709678,1624,1,20,23.330413920685512
profile,glm4.5,可部署性,62496,10.74910394265233,560,1,20,21.13776801428357
profile,gpt5,有效性,62440,3.7354260089686098,15176,1,20,14.596368316273564
profile,gpt5,无干扰性,62440,13.10134529147982,3528,1,20,41.82739729335064
profile,gpt5,可部署性,62440,15.674439461883408,672,1,20,20.698494640957243
profile,grok4,有效性,62440,13.522869955156951,0,3,20,16.279970238693448
profile,grok4,无干扰性,62496,10.655913978494624,1344,1,20,27.27587004278088
profile,grok4,可部署性,62496,10.599462365591398,952,1,20,25.6056986356812
