judge,generator,method,dimension,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,ali-qwen,all,有效性,3080,12.836363636363636,0,6,20,17.84595041322361
ali-qwen,ali-qwen,all,无干扰性,3080,6.327272727272727,1120,1,20,35.23834710743721
ali-qwen,ali-qwen,all,可部署性,3080,4.5636363636363635,1400,1,20,27.62776859504159
ali-qwen,ali-qwen,no_cot,有效性,3080,15.10909090909091,0,6,19,8.133553719008171
ali-qwen,ali-qwen,no_cot,无干扰性,3080,9.963636363636363,336,1,19,39.38049586776948
ali-qwen,ali-qwen,no_cot,可部署性,3080,8.072727272727272,560,1,20,31.376528925620185
ali-qwen,ali-qwen,no_rag,有效性,3080,10.818181818181818,0,5,20,11.457851239669562
ali-qwen,ali-qwen,no_rag,无干扰性,3080,7.072727272727272,168,1,19,20.358347107438632
ali-qwen,ali-qwen,no_rag,可部署性,3080,7.0181818181818185,56,1,19,18.99966942148795
ali-qwen,ali-qwen,no_feedback,有效性,3080,15.927272727272728,0,9,20,6.067438016528758
ali-qwen,ali-qwen,no_feedback,无干扰性,3080,12.2,0,2,20,25.2872727272723
ali-qwen,ali-qwen,no_feedback,可部署性,3080,11.181818181818182,56,1,20,23.166942148760466
ali-qwen,deepseek,all,有效性,3080,6.745454545454545,0,2,19,12.807933884297581
ali-qwen,deepseek,all,无干扰性,3080,7.345454545454546,56,1,20,20.117024793388456
ali-qwen,deepseek,all,可部署性,3080,5.509090909090909,392,1,20,21.995371900826544
ali-qwen,deepseek,no_cot,有效性,3136,13.982142857142858,0,6,20,11.303252551020378
ali-qwen,deepseek,no_cot,无干扰性,3080,8.690909090909091,168,1,19,29.559008264462484
ali-qwen,deepseek,no_cot,可部署性,3080,7.2,224,1,19,26.15999999999993
ali-qwen,deepseek,no_rag,有效性,3080,8.218181818181819,0,3,17,5.8433057851240395
ali-qwen,deepseek,no_rag,无干扰性,3080,6.872727272727273,168,1,17,14.838347107437965
ali-qwen,deepseek,no_rag,可部署性,3080,6.545454545454546,168,1,15,13.702479338843094
ali-qwen,deepseek,no_feedback,有效性,3080,14.163636363636364,0,6,20,12.28231404958679
ali-qwen,deepseek,no_feedback,无干扰性,3080,10.781818181818181,112,1,20,28.352396694214807
ali-qwen,deepseek,no_feedback,可部署性,3080,10.672727272727272,0,2,20,24.074710743801525
