judge,generator,method,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,ali-qwen,all,3080,4.5636363636363635,1400,1,20,27.62776859504159
ali-qwen,ali-qwen,no_cot,3080,8.072727272727272,560,1,20,31.376528925620185
ali-qwen,ali-qwen,no_rag,3080,7.0181818181818185,56,1,19,18.99966942148795
ali-qwen,ali-qwen,no_feedback,3080,11.181818181818182,56,1,20,23.166942148760466
ali-qwen,deepseek,all,3080,5.509090909090909,392,1,20,21.995371900826544
ali-qwen,deepseek,no_cot,3080,7.2,224,1,19,26.15999999999993
ali-qwen,deepseek,no_rag,3080,6.545454545454546,168,1,15,13.702479338843094
ali-qwen,deepseek,no_feedback,3080,10.672727272727272,0,2,20,24.074710743801525
ali-qwen,glm4.5,all,3080,7.6909090909090905,0,2,20,16.57719008264498
ali-qwen,glm4.5,no_cot,3080,12.218181818181819,0,2,20,21.152396694215145
ali-qwen,glm4.5,no_rag,3080,10.145454545454545,0,4,20,14.233388429751832
ali-qwen,glm4.5,no_feedback,3080,13.636363636363637,0,3,20,18.52231404958667
ali-qwen,gpt5,all,3080,16.89090909090909,0,9,20,7.44264462809919
ali-qwen,gpt5,no_cot,3080,15.927272727272728,0,8,20,7.958347107437815
ali-qwen,gpt5,no_rag,3080,17.145454545454545,56,1,20,10.124297520660875
ali-qwen,gpt5,no_feedback,3080,16.618181818181817,0,6,20,8.417851239669524
ali-qwen,grok4,all,3080,5.490909090909091,112,1,16,11.777190082644932
ali-qwen,grok4,no_cot,3080,9.981818181818182,0,3,19,14.599669421487873
ali-qwen,grok4,no_rag,3080,10.181818181818182,56,1,20,16.65785123966965
ali-qwen,grok4,no_feedback,3080,13.309090909090909,0,4,20,19.19537190082667
grok4,ali-qwen,all,3136,8.482142857142858,336,1,19,19.963966836734784
grok4,ali-qwen,no_cot,3136,6.285714285714286,952,1,20,37.20408163265358
grok4,ali-qwen,no_rag,3136,9.517857142857142,112,1,20,19.92825255102037
grok4,ali-qwen,no_feedback,3136,8.303571428571429,168,1,20,31.139987244897743
grok4,deepseek,all,3136,7.5,280,1,20,24.5
grok4,deepseek,no_cot,3136,4.428571428571429,672,1,17,15.780612244898004
grok4,deepseek,no_rag,3136,6.428571428571429,112,1,17,14.459183673469278
grok4,deepseek,no_feedback,3136,6.964285714285714,168,1,19,20.391581632652876
grok4,glm4.5,all,3136,11.767857142857142,0,2,20,16.999681122448855
grok4,glm4.5,no_cot,3136,10.035714285714286,0,2,17,16.998724489795883
grok4,glm4.5,no_rag,3136,12.125,0,3,20,17.216517857142858
grok4,glm4.5,no_feedback,3136,10.267857142857142,56,1,16,14.946109693877617
grok4,gpt5,all,3136,18.267857142857142,0,2,20,13.338966836734677
grok4,gpt5,no_cot,3136,15.964285714285714,56,1,19,12.998724489796036
grok4,gpt5,no_rag,3136,18.178571428571427,0,3,20,10.075255102040751
grok4,gpt5,no_feedback,3136,15.767857142857142,56,1,20,13.785395408163192
grok4,grok4,all,3136,8.017857142857142,56,1,20,15.803252551020249
grok4,grok4,no_cot,3136,11.464285714285714,0,4,19,16.60586734693869
grok4,grok4,no_rag,3136,9.589285714285714,56,1,20,21.70631377551007
grok4,grok4,no_feedback,3136,10.642857142857142,56,1,20,19.22959183673468
glm4.5,ali-qwen,all,3136,7.142857142857143,672,1,19,25.729591836734336
glm4.5,ali-qwen,no_cot,3136,6.321428571428571,1120,1,20,35.11096938775459
glm4.5,ali-qwen,no_rag,3136,9.232142857142858,56,1,20,18.39253826530619
glm4.5,ali-qwen,no_feedback,3136,10.017857142857142,0,2,20,33.19610969387717
glm4.5,deepseek,all,3136,7.214285714285714,336,1,20,24.061224489795734
glm4.5,deepseek,no_cot,3136,5.660714285714286,224,1,20,21.54559948979616
glm4.5,deepseek,no_rag,3136,7.571428571428571,112,1,17,19.852040816326646
glm4.5,deepseek,no_feedback,3136,8.142857142857142,112,1,18,20.19387755102058
glm4.5,glm4.5,all,3136,9.964285714285714,168,1,17,21.034438775509955
glm4.5,glm4.5,no_cot,3136,9.535714285714286,0,2,17,19.891581632653008
glm4.5,glm4.5,no_rag,3136,11.071428571428571,0,3,20,14.530612244897977
glm4.5,glm4.5,no_feedback,3136,11.428571428571429,0,3,20,20.173469387755308
glm4.5,gpt5,all,3080,18.0,0,8,20,5.418181818181818
glm4.5,gpt5,no_cot,3136,15.714285714285714,0,4,20,13.48979591836722
glm4.5,gpt5,no_rag,3136,18.553571428571427,0,6,20,5.74713010204082
glm4.5,gpt5,no_feedback,3136,15.714285714285714,0,7,20,9.168367346938833
glm4.5,grok4,all,3136,6.910714285714286,224,1,20,17.759885204081407
glm4.5,grok4,no_cot,3136,10.267857142857142,56,1,18,22.946109693877304
glm4.5,grok4,no_rag,3136,9.607142857142858,56,1,20,23.309948979591958
glm4.5,grok4,no_feedback,3136,11.892857142857142,0,4,20,20.45280612244903
gpt5,ali-qwen,all,3136,7.5,224,1,19,16.571428571428573
gpt5,ali-qwen,no_cot,3136,13.428571428571429,168,1,20,31.994897959183312
gpt5,ali-qwen,no_rag,3136,9.607142857142858,56,1,20,22.595663265306268
gpt5,ali-qwen,no_feedback,3136,14.910714285714286,0,3,20,28.11702806122439
gpt5,deepseek,all,3136,5.910714285714286,728,1,20,26.902742346938897
gpt5,deepseek,no_cot,3136,6.714285714285714,560,1,20,31.811224489796437
gpt5,deepseek,no_rag,3136,5.75,448,1,15,17.616071428571427
gpt5,deepseek,no_feedback,3136,8.160714285714286,56,1,20,30.56345663265305
gpt5,glm4.5,all,3136,9.642857142857142,56,1,20,16.26530612244889
gpt5,glm4.5,no_cot,3136,10.357142857142858,112,1,19,28.65816326530583
gpt5,glm4.5,no_rag,3136,11.892857142857142,0,2,20,25.024234693877254
gpt5,glm4.5,no_feedback,3136,11.142857142857142,112,1,20,29.65816326530589
gpt5,gpt5,all,3136,11.053571428571429,112,1,20,27.300701530611963
gpt5,gpt5,no_cot,3136,8.553571428571429,112,1,18,21.10427295918403
gpt5,gpt5,no_rag,3136,11.767857142857142,56,1,20,22.392538265305777
gpt5,gpt5,no_feedback,3136,9.125,224,1,18,23.359375
gpt5,grok4,all,3136,12.571428571428571,0,2,20,19.387755102040934
gpt5,grok4,no_cot,3136,14.321428571428571,0,3,20,22.253826530612407
gpt5,grok4,no_rag,3136,12.535714285714286,56,1,20,37.641581632653555
gpt5,grok4,no_feedback,3136,15.053571428571429,56,1,20,30.050701530612002
deepseek,ali-qwen,all,3136,8.410714285714286,280,1,19,16.884885204081513
deepseek,ali-qwen,no_cot,3136,5.196428571428571,1288,1,20,25.907844387755585
deepseek,ali-qwen,no_rag,3136,10.696428571428571,0,2,20,16.068558673469514
deepseek,ali-qwen,no_feedback,3136,7.517857142857143,56,1,18,22.24968112244872
deepseek,deepseek,all,3136,8.035714285714286,280,1,20,24.24872448979613
deepseek,deepseek,no_cot,3136,3.767857142857143,784,1,20,14.071109693877537
deepseek,deepseek,no_rag,3136,7.517857142857143,112,1,17,20.106823979591564
deepseek,deepseek,no_feedback,3136,6.339285714285714,112,1,16,17.331313775510303
deepseek,glm4.5,all,3136,10.839285714285714,0,2,20,14.813456632653097
deepseek,glm4.5,no_cot,3136,9.071428571428571,56,1,17,23.209183673469347
deepseek,glm4.5,no_rag,3136,11.25,0,2,20,17.973214285714285
deepseek,glm4.5,no_feedback,3136,10.910714285714286,0,2,20,22.509885204081634
deepseek,gpt5,all,3136,18.017857142857142,0,10,20,3.6246811224490028
deepseek,gpt5,no_cot,3136,16.214285714285715,0,6,19,7.918367346938734
deepseek,gpt5,no_rag,3136,19.107142857142858,0,11,20,1.8456632653060883
deepseek,gpt5,no_feedback,3136,17.017857142857142,0,7,20,6.517538265306257
deepseek,grok4,all,3136,8.464285714285714,56,1,20,11.320153061224485
deepseek,grok4,no_cot,3136,9.232142857142858,56,1,18,21.071109693877517
deepseek,grok4,no_rag,3136,10.839285714285714,56,1,20,20.242028061224328
deepseek,grok4,no_feedback,3136,11.553571428571429,0,2,20,22.46141581632678
