judge,generator,method,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,ali-qwen,all,3080,6.327272727272727,1120,1,20,35.23834710743721
ali-qwen,ali-qwen,no_cot,3080,9.963636363636363,336,1,19,39.38049586776948
ali-qwen,ali-qwen,no_rag,3080,7.072727272727272,168,1,19,20.358347107438632
ali-qwen,ali-qwen,no_feedback,3080,12.2,0,2,20,25.2872727272723
ali-qwen,deepseek,all,3080,7.345454545454546,56,1,20,20.117024793388456
ali-qwen,deepseek,no_cot,3080,8.690909090909091,168,1,19,29.559008264462484
ali-qwen,deepseek,no_rag,3080,6.872727272727273,168,1,17,14.838347107437965
ali-qwen,deepseek,no_feedback,3080,10.781818181818181,112,1,20,28.352396694214807
ali-qwen,glm4.5,all,3080,8.163636363636364,0,2,20,16.8277685950413
ali-qwen,glm4.5,no_cot,3080,13.2,0,2,20,19.323636363636123
ali-qwen,glm4.5,no_rag,3080,9.163636363636364,112,1,20,19.15504132231402
ali-qwen,glm4.5,no_feedback,3080,14.090909090909092,0,5,20,20.446280991735563
ali-qwen,gpt5,all,3080,13.581818181818182,280,1,20,44.825123966941604
ali-qwen,gpt5,no_cot,3080,12.981818181818182,0,2,20,32.99966942148779
ali-qwen,gpt5,no_rag,3080,13.236363636363636,392,1,20,44.87140495867758
ali-qwen,gpt5,no_feedback,3080,13.50909090909091,56,1,20,32.06809917355357
ali-qwen,grok4,all,3080,7.290909090909091,56,1,18,19.07900826446294
ali-qwen,grok4,no_cot,3080,11.163636363636364,0,3,19,18.864132231405154
ali-qwen,grok4,no_rag,3080,10.272727272727273,56,1,20,18.052892561983263
ali-qwen,grok4,no_feedback,3080,14.090909090909092,0,4,20,23.246280991735667
grok4,ali-qwen,all,3136,7.803571428571429,112,1,19,20.943558673469443
grok4,ali-qwen,no_cot,3136,10.035714285714286,448,1,20,46.748724489795684
grok4,ali-qwen,no_rag,3136,9.178571428571429,112,1,20,23.360969387755226
grok4,ali-qwen,no_feedback,3136,10.696428571428571,112,1,20,37.997130102041034
grok4,deepseek,all,3136,7.964285714285714,224,1,20,21.248724489795876
grok4,deepseek,no_cot,3136,8.589285714285714,392,1,20,35.99202806122471
grok4,deepseek,no_rag,3136,7.714285714285714,336,1,17,22.20408163265307
grok4,deepseek,no_feedback,3136,10.267857142857142,112,1,20,29.660395408163065
grok4,glm4.5,all,3136,10.839285714285714,56,1,20,16.456313775509983
grok4,glm4.5,no_cot,3136,10.642857142857142,0,2,19,17.551020408163005
grok4,glm4.5,no_rag,3136,11.214285714285714,56,1,20,18.096938775510118
grok4,glm4.5,no_feedback,3136,11.892857142857142,56,1,18,19.23852040816329
grok4,gpt5,all,3136,13.821428571428571,840,1,20,63.360969387756086
grok4,gpt5,no_cot,3136,11.767857142857142,56,1,19,45.64253826530455
grok4,gpt5,no_rag,3136,13.5,56,1,20,59.75
grok4,gpt5,no_feedback,3136,12.446428571428571,0,3,20,38.8185586734702
grok4,grok4,all,3136,8.107142857142858,56,1,20,18.274234693877382
grok4,grok4,no_cot,3136,12.410714285714286,0,2,20,17.7777423469388
grok4,grok4,no_rag,3136,9.160714285714286,56,1,20,21.313456632653025
grok4,grok4,no_feedback,3136,11.946428571428571,56,1,20,22.122130102041012
glm4.5,ali-qwen,all,3136,7.053571428571429,168,1,17,13.65784438775523
glm4.5,ali-qwen,no_cot,3136,9.410714285714286,784,1,19,45.27774234693932
glm4.5,ali-qwen,no_rag,3136,8.464285714285714,112,1,20,15.391581632652933
glm4.5,ali-qwen,no_feedback,3136,11.875,56,1,20,41.68080357142857
glm4.5,deepseek,all,3136,7.589285714285714,112,1,20,16.420599489795997
glm4.5,deepseek,no_cot,3136,9.357142857142858,168,1,20,39.372448979591816
glm4.5,deepseek,no_rag,3136,8.0,168,1,19,20.714285714285715
glm4.5,deepseek,no_feedback,3136,10.75,112,1,20,35.330357142857146
glm4.5,glm4.5,all,3136,9.196428571428571,112,1,17,15.336415816326605
glm4.5,glm4.5,no_cot,3136,10.5,168,1,19,24.142857142857142
glm4.5,glm4.5,no_rag,3136,10.767857142857142,56,1,19,15.78539540816351
glm4.5,glm4.5,no_feedback,3136,13.142857142857142,56,1,20,25.693877551020286
glm4.5,gpt5,all,3080,13.345454545454546,392,1,20,50.00793388429828
glm4.5,gpt5,no_cot,3136,12.017857142857142,56,1,19,35.73182397959156
glm4.5,gpt5,no_rag,3136,14.660714285714286,280,1,20,46.90274234693864
glm4.5,gpt5,no_feedback,3136,12.303571428571429,0,2,20,32.568558673469674
glm4.5,grok4,all,3136,7.625,224,1,20,20.520089285714285
glm4.5,grok4,no_cot,3136,11.232142857142858,0,2,18,23.571109693877478
glm4.5,grok4,no_rag,3136,9.553571428571429,112,1,20,24.461415816326838
glm4.5,grok4,no_feedback,3136,13.035714285714286,0,2,20,30.82015306122518
gpt5,ali-qwen,all,3136,9.125,56,1,19,18.252232142857142
gpt5,ali-qwen,no_cot,3136,11.392857142857142,168,1,20,42.59566326530628
gpt5,ali-qwen,no_rag,3136,8.464285714285714,56,1,20,18.28443877551015
gpt5,ali-qwen,no_feedback,3136,11.017857142857142,112,1,20,45.62468112244878
gpt5,deepseek,all,3136,7.714285714285714,336,1,19,22.596938775509972
gpt5,deepseek,no_cot,3136,7.803571428571429,392,1,20,30.872130102040913
gpt5,deepseek,no_rag,3136,7.571428571428571,280,1,20,21.85204081632681
gpt5,deepseek,no_feedback,3136,7.803571428571429,112,1,20,28.336415816326618
gpt5,glm4.5,all,3136,10.5,56,1,19,20.107142857142858
gpt5,glm4.5,no_cot,3136,10.392857142857142,336,1,20,39.38137755102046
gpt5,glm4.5,no_rag,3136,12.214285714285714,56,1,20,21.4897959183673
gpt5,glm4.5,no_feedback,3136,10.5,224,1,20,31.392857142857142
gpt5,gpt5,all,3136,13.232142857142858,280,1,20,36.07110969387753
gpt5,gpt5,no_cot,3136,12.803571428571429,0,2,20,23.12213010204097
