judge,generator,method,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,ali-qwen,all,3080,12.836363636363636,0,6,20,17.84595041322361
ali-qwen,ali-qwen,no_cot,3080,15.10909090909091,0,6,19,8.133553719008171
ali-qwen,ali-qwen,no_rag,3080,10.818181818181818,0,5,20,11.457851239669562
ali-qwen,ali-qwen,no_feedback,3080,15.927272727272728,0,9,20,6.067438016528758
ali-qwen,deepseek,all,3080,6.745454545454545,0,2,19,12.807933884297581
ali-qwen,deepseek,no_cot,3136,13.982142857142858,0,6,20,11.303252551020378
ali-qwen,deepseek,no_rag,3080,8.218181818181819,0,3,17,5.8433057851240395
ali-qwen,deepseek,no_feedback,3080,14.163636363636364,0,6,20,12.28231404958679
ali-qwen,glm4.5,all,3080,6.9818181818181815,0,3,19,13.945123966942433
ali-qwen,glm4.5,no_cot,3080,12.818181818181818,0,3,20,24.548760330578464
ali-qwen,glm4.5,no_rag,3080,7.4363636363636365,0,2,20,13.264132231405322
ali-qwen,glm4.5,no_feedback,3080,14.581818181818182,0,6,19,11.152396694214843
ali-qwen,gpt5,all,3080,1.8,2688,1,20,12.632727272726957
ali-qwen,gpt5,no_cot,3080,3.981818181818182,112,1,18,11.363305785124263
ali-qwen,gpt5,no_rag,3080,3.090909090909091,280,1,20,11.60991735537218
ali-qwen,gpt5,no_feedback,3080,6.218181818181818,0,2,20,17.334214876033077
ali-qwen,grok4,all,3080,11.781818181818181,0,5,20,16.206942148760582
ali-qwen,grok4,no_cot,3080,13.8,0,3,20,15.978181818181678
ali-qwen,grok4,no_rag,3024,11.88888888888889,0,4,20,16.358024691357993
ali-qwen,grok4,no_feedback,3080,17.78181818181818,0,6,20,10.97057851239676
grok4,ali-qwen,all,3136,8.178571428571429,0,3,19,13.610969387755077
grok4,ali-qwen,no_cot,3136,17.303571428571427,0,13,20,5.139987244897817
grok4,ali-qwen,no_rag,3136,9.946428571428571,0,3,20,13.657844387755153
grok4,ali-qwen,no_feedback,3136,17.928571428571427,0,13,20,2.852040816326537
grok4,deepseek,all,3136,8.017857142857142,0,3,20,12.017538265306221
grok4,deepseek,no_cot,3136,15.803571428571429,0,8,20,6.372130102040793
grok4,deepseek,no_rag,3136,9.5,0,4,19,7.285714285714286
grok4,deepseek,no_feedback,3136,16.071428571428573,0,8,20,8.709183673469319
grok4,glm4.5,all,3136,6.660714285714286,56,1,20,10.331313775510234
grok4,glm4.5,no_cot,3136,11.375,0,4,19,17.698660714285715
grok4,glm4.5,no_rag,3136,9.089285714285714,0,5,20,9.759885204081595
grok4,glm4.5,no_feedback,3136,14.321428571428571,0,5,20,17.360969387755205
grok4,gpt5,all,3136,1.9821428571428572,2408,1,20,12.481823979591885
