judge,type,key,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,method,all,15400,8.02909090909091,1904,1,20,37.773699173548614
ali-qwen,method,no_cot,15400,10.68,784,1,20,30.10850909090855
ali-qwen,method,no_rag,15400,10.207272727272727,336,1,20,29.087947107438083
ali-qwen,method,no_feedback,15400,13.083636363636364,56,1,20,23.131186776859128
ali-qwen,profile,ali-qwen,12320,7.709090909090909,2072,1,20,30.93355371900936
ali-qwen,profile,deepseek,12320,7.4818181818181815,784,1,20,25.240578512397303
ali-qwen,profile,glm4.5,12320,10.922727272727272,0,2,20,22.644028925619555
ali-qwen,profile,gpt5,12320,16.645454545454545,56,1,20,8.692479338844825
ali-qwen,profile,grok4,12320,9.74090909090909,168,1,20,23.31923553718979
grok4,method,all,15680,10.807142857142857,672,1,20,34.26280612245515
grok4,method,no_cot,15680,9.635714285714286,1680,1,20,36.295867346936916
grok4,method,no_rag,15680,11.167857142857143,280,1,20,32.225395408165404
grok4,method,no_feedback,15680,10.389285714285714,504,1,20,28.916313775509312
grok4,profile,ali-qwen,12544,8.147321428571429,1568,1,20,28.429189253827502
grok4,profile,deepseek,12544,6.330357142857143,1232,1,20,20.131935586735686
grok4,profile,glm4.5,12544,11.049107142857142,56,1,20,17.368124202806353
grok4,profile,gpt5,12544,17.044642857142858,112,1,20,13.944435586735713
grok4,profile,grok4,12544,9.928571428571429,168,1,20,19.994897959183117
glm4.5,method,all,15624,9.817204301075268,1400,1,20,36.54364666435613
glm4.5,method,no_cot,15680,9.5,1400,1,20,35.40714285714286
glm4.5,method,no_rag,15680,11.207142857142857,224,1,20,31.099948979593414
glm4.5,method,no_feedback,15680,11.439285714285715,112,1,20,26.910599489795374
glm4.5,profile,ali-qwen,12544,8.178571428571429,1848,1,20,30.36096938775522
glm4.5,profile,deepseek,12544,7.147321428571429,784,1,20,22.259546396683405
glm4.5,profile,glm4.5,12544,10.5,168,1,20,19.508928571428573
glm4.5,profile,gpt5,12488,16.99103139013453,0,4,20,10.1523859317486
glm4.5,profile,grok4,12544,9.669642857142858,336,1,20,24.346221301020975
gpt5,method,all,15680,9.335714285714285,1120,1,20,27.008724489794957
gpt5,method,no_cot,15680,10.675,952,1,20,35.397946428572496
gpt5,method,no_rag,15680,10.310714285714285,616,1,20,31.228456632655053
gpt5,method,no_feedback,15680,11.678571428571429,448,1,20,36.55382653061345
gpt5,profile,ali-qwen,12544,11.361607142857142,448,1,20,33.53441884566355
gpt5,profile,deepseek,12544,6.633928571428571,1792,1,20,27.63384885204128
gpt5,profile,glm4.5,12544,10.758928571428571,280,1,20,25.611527423470292
gpt5,profile,gpt5,12544,10.125,504,1,20,25.296875
gpt5,profile,grok4,12544,13.620535714285714,112,1,20,28.539042570151647
deepseek,method,all,15680,10.753571428571428,616,1,20,28.35713010204072
deepseek,method,no_cot,15680,8.696428571428571,2184,1,20,37.13284438775409
deepseek,method,no_rag,15680,11.882142857142858,168,1,20,30.075395408162635
deepseek,method,no_feedback,15680,10.667857142857143,168,1,20,32.178966836734865
deepseek,profile,ali-qwen,12544,7.955357142857143,1624,1,20,24.15872130102116
deepseek,profile,deepseek,12544,6.415178571428571,1288,1,20,21.653519610968296
deepseek,profile,glm4.5,12544,10.517857142857142,56,1,20,20.347895408163833
deepseek,profile,gpt5,12544,17.589285714285715,0,6,20,6.152742346938969
deepseek,profile,grok4,12544,10.022321428571429,168,1,20,20.289680325254874
