judge,type,key,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,method,all,15400,8.541818181818181,1512,1,20,33.90643305785155
ali-qwen,method,no_cot,15400,11.2,504,1,20,31.02545454545646
ali-qwen,method,no_rag,15400,9.323636363636364,896,1,20,28.917077685950762
ali-qwen,method,no_feedback,15400,12.934545454545454,168,1,20,27.515715702480485
ali-qwen,profile,ali-qwen,12320,8.89090909090909,1624,1,20,35.560826446280664
ali-qwen,profile,deepseek,12320,8.422727272727272,504,1,20,25.516756198347295
ali-qwen,profile,glm4.5,12320,11.154545454545454,112,1,20,25.367024793388328
ali-qwen,profile,gpt5,12320,13.327272727272728,728,1,20,38.74743801652739
ali-qwen,profile,grok4,12320,10.704545454545455,112,1,20,25.689979338842342
grok4,method,all,15680,9.707142857142857,1288,1,20,33.54280612245004
grok4,method,no_cot,15680,10.689285714285715,896,1,20,34.53559948979755
grok4,method,no_rag,15680,10.153571428571428,616,1,20,32.98713010203952
grok4,method,no_feedback,15680,11.45,336,1,20,30.247500000001313
grok4,profile,ali-qwen,12544,9.428571428571429,784,1,20,33.43239795918516
grok4,profile,deepseek,12544,8.633928571428571,1064,1,20,28.267777423470065
grok4,profile,glm4.5,12544,11.147321428571429,168,1,20,18.063117825254423
grok4,profile,gpt5,12544,12.883928571428571,952,1,20,52.56688456632627
grok4,profile,grok4,12544,10.40625,168,1,20,23.1787109375
glm4.5,method,all,15624,8.946236559139784,1008,1,20,28.35911666088566
glm4.5,method,no_cot,15680,10.503571428571428,1176,1,20,34.685701530611325
glm4.5,method,no_rag,15680,10.289285714285715,728,1,20,30.341313775510127
glm4.5,method,no_feedback,15680,12.221428571428572,224,1,20,33.9795408163232
glm4.5,profile,ali-qwen,12544,9.200892857142858,1120,1,20,32.089106345663225
glm4.5,profile,deepseek,12544,8.924107142857142,560,1,20,29.49870455994909
glm4.5,profile,glm4.5,12544,10.901785714285714,392,1,20,22.26713966836667
glm4.5,profile,gpt5,12488,13.080717488789238,728,1,20,42.34326047175425
glm4.5,profile,grok4,12544,10.361607142857142,336,1,20,28.855847417091702
gpt5,method,all,15680,10.235714285714286,784,1,20,27.04443877550843
gpt5,method,no_cot,15680,10.510714285714286,1008,1,20,36.2784566326512
gpt5,method,no_rag,15680,10.689285714285715,728,1,20,32.742742346941355
gpt5,method,no_feedback,15680,10.564285714285715,616,1,20,36.82443877550933
gpt5,profile,ali-qwen,12544,10.0,392,1,20,32.714285714285715
gpt5,profile,deepseek,12544,7.723214285714286,1120,1,20,25.923389668366745
gpt5,profile,glm4.5,12544,10.901785714285714,672,1,20,28.668925382652596
gpt5,profile,gpt5,12544,12.986607142857142,504,1,20,30.379284917091034
gpt5,profile,grok4,12544,10.888392857142858,448,1,20,34.10807955994841
deepseek,method,all,15680,9.285714285714286,952,1,20,27.089795918366725
deepseek,method,no_cot,15680,10.496428571428572,1176,1,20,35.09998724489812
deepseek,method,no_rag,15680,10.725,504,1,20,31.999374999998924
deepseek,method,no_feedback,15680,11.492857142857142,504,1,20,36.299948979592415
deepseek,profile,ali-qwen,12544,9.651785714285714,784,1,20,29.66446109693829
deepseek,profile,deepseek,12544,8.200892857142858,1176,1,20,31.74089205994913
deepseek,profile,glm4.5,12544,10.495535714285714,280,1,20,22.035694355866823
deepseek,profile,gpt5,12544,13.232142857142858,616,1,20,44.91932397959066
deepseek,profile,grok4,12544,10.919642857142858,280,1,20,24.243542729592246
