judge,type,key,count,avg_rank,first_count,min_rank,max_rank,var_rank
ali-qwen,method,all,15400,8.02909090909091,2688,1,20,30.43551735536703
ali-qwen,method,no_cot,15456,11.945652173913043,112,1,20,30.565886893510328
ali-qwen,method,no_rag,15344,8.277372262773723,280,1,20,21.098247109595956
ali-qwen,method,no_feedback,15400,13.734545454545454,0,2,20,27.278624793388815
ali-qwen,profile,ali-qwen,12320,13.672727272727272,0,5,20,14.874710743801602
ali-qwen,profile,deepseek,12376,10.79185520361991,0,2,20,21.694232304825977
ali-qwen,profile,glm4.5,12320,10.454545454545455,0,2,20,26.675206611569596
ali-qwen,profile,gpt5,12320,3.772727272727273,3080,1,20,15.830165289256247
ali-qwen,profile,grok4,12264,13.821917808219178,0,3,20,20.776505911052855
grok4,method,all,15680,7.175,2464,1,20,19.844375000000348
grok4,method,no_cot,15680,12.42142857142857,168,1,20,34.10096938775822
grok4,method,no_rag,15680,8.689285714285715,336,1,20,20.37845663265371
grok4,method,no_feedback,15680,13.714285714285714,168,1,20,30.31836734693671
grok4,profile,ali-qwen,12544,13.339285714285714,0,3,20,27.545599489795872
grok4,profile,deepseek,12544,12.348214285714286,0,3,20,21.76267538265276
grok4,profile,glm4.5,12544,10.361607142857142,56,1,20,21.793347417092313
grok4,profile,gpt5,12544,3.2544642857142856,3080,1,20,10.046855070152795
grok4,profile,grok4,12544,13.196428571428571,0,3,20,13.836415816326113
glm4.5,method,all,15624,6.397849462365591,2632,1,20,17.716267776621358
glm4.5,method,no_cot,15680,12.267857142857142,56,1,20,27.260395408162047
glm4.5,method,no_rag,15680,8.45,336,1,20,20.104642857144093
glm4.5,method,no_feedback,15680,14.835714285714285,112,1,20,24.765867346938144
glm4.5,profile,ali-qwen,12544,11.883928571428571,0,3,20,31.057955994898784
glm4.5,profile,deepseek,12544,12.138392857142858,56,1,20,25.806740274235263
glm4.5,profile,glm4.5,12544,11.129464285714286,0,3,20,23.532346141580824
glm4.5,profile,gpt5,12488,4.2825112107623315,3080,1,20,20.704940779021726
glm4.5,profile,grok4,12544,12.995535714285714,0,3,20,15.129444355867047
gpt5,method,all,15680,7.3464285714285715,2352,1,20,22.312130102040836
gpt5,method,no_cot,15680,11.989285714285714,168,1,20,30.41059948979682
gpt5,method,no_rag,15680,9.332142857142857,616,1,20,27.814681122447663
gpt5,method,no_feedback,15680,13.332142857142857,0,2,20,30.914681122447963
gpt5,profile,ali-qwen,12544,12.428571428571429,0,3,20,29.7091836734697
gpt5,profile,deepseek,12544,10.294642857142858,56,1,20,18.895328443878512
gpt5,profile,glm4.5,12544,11.848214285714286,56,1,20,19.70017538265241
gpt5,profile,gpt5,12544,3.4642857142857144,3024,1,20,10.971938775510178
gpt5,profile,grok4,12544,14.464285714285714,0,3,20,16.17729591836669
deepseek,method,all,15680,6.796428571428572,2408,1,20,19.247844387755105
deepseek,method,no_cot,15680,12.582142857142857,56,1,20,31.464681122449097
deepseek,method,no_rag,15680,8.710714285714285,504,1,20,22.812742346938226
deepseek,method,no_feedback,15680,13.896428571428572,168,1,20,26.87141581632715
deepseek,profile,ali-qwen,12544,12.897321428571429,0,2,20,28.047492825255233
deepseek,profile,deepseek,12544,11.973214285714286,168,1,20,26.37428252550972
deepseek,profile,glm4.5,12544,10.5625,56,1,20,24.755022321428573
deepseek,profile,gpt5,12544,3.90625,2912,1,20,14.843889508928571
deepseek,profile,grok4,12544,13.142857142857142,0,3,20,14.077806122449205
