dimension,model,mse
可部署性,uniform,0.0338650609135621
可部署性,fitted,0.0338650609135621
可部署性,single:ali-qwen,0.0338650609135621
可部署性,single:deepseek,0.0338650609135621
可部署性,single:glm4.5,0.0338650609135621
可部署性,single:gpt5,0.02716955344233053
可部署性,single:grok4,0.0338650609135621
无干扰性,uniform,0.021445597289979294
无干扰性,fitted,0.020308169712138214
无干扰性,single:ali-qwen,0.020308169712138214
无干扰性,single:deepseek,0.021603889119030998
无干扰性,single:glm4.5,0.02162761977693743
无干扰性,single:gpt5,0.02175192042708867
无干扰性,single:grok4,0.021764987820568297
有效性,uniform,0.026731806038141744
有效性,fitted,0.024651995560162978
有效性,single:ali-qwen,0.02465199556016298
有效性,single:deepseek,0.027655108952173917
有效性,single:glm4.5,0.028680760797923747
有效性,single:gpt5,0.0271274864495904
有效性,single:grok4,0.02781510385185997
