dimension,generator,method,score,pred_score
可部署性,ali-qwen,all,0.3355263157894736,0.6763197180925893
可部署性,ali-qwen,no_cot,0.20582706766917291,0.37947130591640676
可部署性,ali-qwen,no_feedback,0.15601503759398497,0.2912550762562813
可部署性,ali-qwen,no_rag,0.475563909774436,0.5632375940392922
可部署性,deepseek,all,0.6992481203007518,0.7440614442510891
可部署性,deepseek,no_cot,0.5921052631578947,0.6962003790412733
可部署性,deepseek,no_feedback,0.5789473684210525,0.6073580185830392
可部署性,deepseek,no_rag,0.5582706766917294,0.7450087125095439
可部署性,glm4.5,all,0.6851503759398495,0.5573607902784067
可部署性,glm4.5,no_cot,0.4633458646616541,0.4958412215250139
可部署性,glm4.5,no_feedback,0.4407894736842105,0.4505192551964047
可部署性,glm4.5,no_rag,0.49436090225563906,0.4376562637207104
可部署性,gpt5,all,0.9736842105263158,0.4342367605149878
可部署性,gpt5,no_cot,0.4934210526315789,0.5561753926161278
可部署性,gpt5,no_feedback,0.43796992481203006,0.5253504928925344
可部署性,gpt5,no_rag,0.7114661654135339,0.3995275359960455
可部署性,grok4,all,0.5864661654135339,0.43540601405468315
可部署性,grok4,no_cot,0.34680451127819545,0.3261022002868165
可部署性,grok4,no_feedback,0.29229323308270677,0.2712845449202621
可部署性,grok4,no_rag,0.47274436090225563,0.40762727930849274
无干扰性,ali-qwen,all,0.3515037593984962,0.5899234921976361
无干扰性,ali-qwen,no_cot,0.30545112781954886,0.4619755381982122
无干扰性,ali-qwen,no_feedback,0.23120300751879697,0.46532669651337777
无干扰性,ali-qwen,no_rag,0.5761278195488722,0.6158745543608553
无干扰性,deepseek,all,0.7058270676691729,0.648930868940795
无干扰性,deepseek,no_cot,0.543233082706767,0.6363494611059738
无干扰性,deepseek,no_feedback,0.5817669172932332,0.6232295054167748
无干扰性,deepseek,no_rag,0.6221804511278195,0.6585195222966653
无干扰性,glm4.5,all,0.5742481203007518,0.5146601244005399
无干扰性,glm4.5,no_cot,0.39849624060150374,0.4880249460535511
无干扰性,glm4.5,no_feedback,0.3674812030075188,0.4774679021859407
无干扰性,glm4.5,no_rag,0.5216165413533834,0.42891653293117515
无干扰性,gpt5,all,0.7706766917293233,0.35400887828319644
无干扰性,gpt5,no_cot,0.4990601503759398,0.3776409426463384
无干扰性,gpt5,no_feedback,0.3881578947368421,0.40247764272493297
无干扰性,gpt5,no_rag,0.724624060150376,0.3338259146838471
无干扰性,grok4,all,0.5930451127819548,0.5151694779403408
无干扰性,grok4,no_cot,0.38251879699248115,0.5115640460987677
无干扰性,grok4,no_feedback,0.3082706766917293,0.44021688809869475
无干扰性,grok4,no_rag,0.5545112781954887,0.45589706492238535
有效性,ali-qwen,all,0.27365288220551376,0.6831841504183886
有效性,ali-qwen,no_cot,0.2019138755980861,0.21859995871793436
有效性,ali-qwen,no_feedback,0.14014202172096907,0.15552004109997136
有效性,ali-qwen,no_rag,0.38841896407685883,0.5054536878212668
有效性,deepseek,all,0.7363721804511278,0.6560069270429387
有效性,deepseek,no_cot,0.6821219715956558,0.40447615649156116
有效性,deepseek,no_feedback,0.6160192147034252,0.3586361111349619
有效性,deepseek,no_rag,0.4251775271512113,0.611998301626798
有效性,glm4.5,all,0.7245718462823726,0.6263785909735062
有效性,glm4.5,no_cot,0.547984544695071,0.3778399214741823
有效性,glm4.5,no_feedback,0.4575501253132832,0.28399349276177993
有效性,glm4.5,no_rag,0.4156223893065998,0.4629331659615631
有效性,gpt5,all,0.9934210526315789,0.9353785683271478
有效性,gpt5,no_cot,0.5280910609857978,0.863742157868403
有效性,gpt5,no_feedback,0.44454887218045114,0.7851410851916275
有效性,gpt5,no_rag,0.6152882205513784,0.8891996073709116
有效性,grok4,all,0.6433792815371763,0.4075212647985742
有效性,grok4,no_cot,0.41327276524644946,0.24502579873218308
有效性,grok4,no_feedback,0.32858187134502925,0.15878361647140632
有效性,grok4,no_rag,0.41854636591478694,0.3704262078828056
