dimension,judge,weight,a,b,a_train,b_train,all_mse,train_mse,val_mse,n_train,n_val
可部署性,ali-qwen,0.2,0.0,0.4999999999999999,0.027915074790156216,0.4460578103618482,0.0338650609135621,0.0245662738686147,0.08124417159225712,16,4
可部署性,deepseek,0.2,0.0,0.4999999999999999,0.027915074790156216,0.4460578103618482,0.0338650609135621,0.0245662738686147,0.08124417159225712,16,4
可部署性,glm4.5,0.2,0.0,0.4999999999999999,0.027915074790156216,0.4460578103618482,0.0338650609135621,0.0245662738686147,0.08124417159225712,16,4
可部署性,gpt5,0.2,0.0,0.4999999999999999,0.027915074790156216,0.4460578103618482,0.0338650609135621,0.0245662738686147,0.08124417159225712,16,4
可部署性,grok4,0.2,0.0,0.4999999999999999,0.027915074790156216,0.4460578103618482,0.0338650609135621,0.0245662738686147,0.08124417159225712,16,4
无干扰性,ali-qwen,0.9999999999999997,0.2755924646255924,0.36220376768720375,0.49246672077848735,0.23952688814659243,0.020308169712138214,0.013574178945656054,0.052886820208302994,16,4
无干扰性,deepseek,4.85722573273506e-17,0.2755924646255924,0.36220376768720375,0.49246672077848735,0.23952688814659243,0.020308169712138214,0.013574178945656054,0.052886820208302994,16,4
无干扰性,glm4.5,9.540979117872439e-18,0.2755924646255924,0.36220376768720375,0.49246672077848735,0.23952688814659243,0.020308169712138214,0.013574178945656054,0.052886820208302994,16,4
无干扰性,gpt5,6.852157730108388e-17,0.2755924646255924,0.36220376768720375,0.49246672077848735,0.23952688814659243,0.020308169712138214,0.013574178945656054,0.052886820208302994,16,4
无干扰性,grok4,1.6306400674181987e-16,0.2755924646255924,0.36220376768720375,0.49246672077848735,0.23952688814659243,0.020308169712138214,0.013574178945656054,0.052886820208302994,16,4
有效性,ali-qwen,1.0,0.5034108758333663,0.24797799429319728,0.5754636353487725,0.21309198390857687,0.024651995560162978,0.024183556761934052,0.027984115952150317,16,4
有效性,deepseek,1.4471049443820657e-17,0.5034108758333663,0.24797799429319728,0.5754636353487725,0.21309198390857687,0.024651995560162978,0.024183556761934052,0.027984115952150317,16,4
有效性,glm4.5,0.0,0.5034108758333663,0.24797799429319728,0.5754636353487725,0.21309198390857687,0.024651995560162978,0.024183556761934052,0.027984115952150317,16,4
有效性,gpt5,1.1449174941446927e-16,0.5034108758333663,0.24797799429319728,0.5754636353487725,0.21309198390857687,0.024651995560162978,0.024183556761934052,0.027984115952150317,16,4
有效性,grok4,0.0,0.5034108758333663,0.24797799429319728,0.5754636353487725,0.21309198390857687,0.024651995560162978,0.024183556761934052,0.027984115952150317,16,4
