dimension,generator,method,score,pred_score
可部署性,ali-qwen,all,0.3355263157894736,0.6410256410256411
可部署性,ali-qwen,no_cot,0.20582706766917291,0.3136094674556213
可部署性,ali-qwen,no_feedback,0.15601503759398497,0.23175542406311636
可部署性,ali-qwen,no_rag,0.475563909774436,0.52465483234714
可部署性,deepseek,all,0.6992481203007518,0.7287968441814596
可部署性,deepseek,no_cot,0.5921052631578947,0.6844181459566074
可部署性,deepseek,no_feedback,0.5789473684210525,0.6045364891518737
可部署性,deepseek,no_rag,0.5582706766917294,0.73767258382643
可部署性,glm4.5,all,0.6851503759398495,0.5226824457593688
可部署性,glm4.5,no_cot,0.4633458646616541,0.48323471400394474
可部署性,glm4.5,no_feedback,0.4407894736842105,0.43984220907297833
可部署性,glm4.5,no_rag,0.49436090225563906,0.3984220907297831
可部署性,gpt5,all,0.9736842105263158,0.4447731755424063
可部署性,gpt5,no_cot,0.4934210526315789,0.5828402366863905
可部署性,gpt5,no_feedback,0.43796992481203006,0.5512820512820513
可部署性,gpt5,no_rag,0.7114661654135339,0.4053254437869823
可部署性,grok4,all,0.5864661654135339,0.3609467455621302
可部署性,grok4,no_cot,0.34680451127819545,0.26429980276134124
可部署性,grok4,no_feedback,0.29229323308270677,0.22386587771203156
可部署性,grok4,no_rag,0.47274436090225563,0.36291913214990135
无干扰性,ali-qwen,all,0.3515037593984962,0.6218095335053295
无干扰性,ali-qwen,no_cot,0.30545112781954886,0.4672822195308888
无干扰性,ali-qwen,no_feedback,0.23120300751879697,0.4238103482295884
无干扰性,ali-qwen,no_rag,0.5761278195488722,0.6106235005859905
无干扰性,deepseek,all,0.7058270676691729,0.6386473075611858
无干扰性,deepseek,no_cot,0.543233082706767,0.6033357165811493
无干扰性,deepseek,no_feedback,0.5817669172932332,0.5451643741253294
无干扰性,deepseek,no_rag,0.6221804511278195,0.6507087316889362
无干扰性,glm4.5,all,0.5742481203007518,0.5355051835016633
无干扰性,glm4.5,no_cot,0.39849624060150374,0.4154580930477406
无干扰性,glm4.5,no_feedback,0.3674812030075188,0.38809922517117224
无干扰性,glm4.5,no_rag,0.5216165413533834,0.4603233377933564
无干扰性,gpt5,all,0.7706766917293233,0.32072469439731066
无干扰性,gpt5,no_cot,0.4990601503759398,0.3453383504564401
无干扰性,gpt5,no_feedback,0.3881578947368421,0.3441252404321916
无干扰性,gpt5,no_rag,0.724624060150376,0.30408956530433373
无干扰性,grok4,all,0.5930451127819548,0.5593982574083296
无干扰性,grok4,no_cot,0.38251879699248115,0.4628392713558587
无干扰性,grok4,no_feedback,0.3082706766917293,0.35360442029206324
无干扰性,grok4,no_rag,0.5545112781954887,0.4560159820883424
有效性,ali-qwen,all,0.27365288220551376,0.4246093745565383
有效性,ali-qwen,no_cot,0.2019138755980861,0.2108729338807334
有效性,ali-qwen,no_feedback,0.14014202172096907,0.1605680728503333
有效性,ali-qwen,no_rag,0.38841896407685883,0.4634503903250121
有效性,deepseek,all,0.7363721804511278,0.6720579312256543
有效性,deepseek,no_cot,0.6821219715956558,0.30547761605532586
有效性,deepseek,no_feedback,0.6160192147034252,0.2861741723695473
有效性,deepseek,no_rag,0.4251775271512113,0.5992919343865313
有效性,glm4.5,all,0.7245718462823726,0.654608667967753
有效性,glm4.5,no_cot,0.547984544695071,0.3472808565119543
有效性,glm4.5,no_feedback,0.4575501253132832,0.24961908316010709
有效性,glm4.5,no_rag,0.4156223893065998,0.5938245874882007
有效性,gpt5,all,0.9934210526315789,0.9500603156479221
有效性,gpt5,no_cot,0.5280910609857978,0.8406122876440736
有效性,gpt5,no_feedback,0.44454887218045114,0.7271049374359919
有效性,gpt5,no_rag,0.6152882205513784,0.8843332766426115
有效性,grok4,all,0.6433792815371763,0.39815724775030764
有效性,grok4,no_cot,0.41327276524644946,0.2723077618698052
有效性,grok4,no_feedback,0.32858187134502925,0.08394395569835691
有效性,grok4,no_rag,0.41854636591478694,0.3841986385099367
