dimension,judge,weight,a,b,a_train,b_train,all_mse
可部署性,ali-qwen,0.2,0.0,0.4999999999999999,0.0,0.4999999999999999,0.0338650609135621
可部署性,deepseek,0.2,0.0,0.4999999999999999,0.0,0.4999999999999999,0.0338650609135621
可部署性,glm4.5,0.2,0.0,0.4999999999999999,0.0,0.4999999999999999,0.0338650609135621
可部署性,gpt5,0.2,0.0,0.4999999999999999,0.0,0.4999999999999999,0.0338650609135621
可部署性,grok4,0.2,0.0,0.4999999999999999,0.0,0.4999999999999999,0.0338650609135621
无干扰性,ali-qwen,0.9993897356053248,0.27560173672505245,0.36219913163747375,0.27560173672505245,0.36219913163747375,0.02030878956523624
无干扰性,deepseek,0.000610264394675257,0.27560173672505245,0.36219913163747375,0.27560173672505245,0.36219913163747375,0.02030878956523624
无干扰性,glm4.5,2.841935827653841e-16,0.27560173672505245,0.36219913163747375,0.27560173672505245,0.36219913163747375,0.02030878956523624
无干扰性,gpt5,3.798003825788502e-17,0.27560173672505245,0.36219913163747375,0.27560173672505245,0.36219913163747375,0.02030878956523624
无干扰性,grok4,0.0,0.27560173672505245,0.36219913163747375,0.27560173672505245,0.36219913163747375,0.02030878956523624
有效性,ali-qwen,0.9735658694245661,0.5044324830109308,0.2474684238840903,0.5044324830109308,0.2474684238840903,0.024650337397103185
有效性,deepseek,0.0,0.5044324830109308,0.2474684238840903,0.5044324830109308,0.2474684238840903,0.024650337397103185
有效性,glm4.5,3.97616466206063e-17,0.5044324830109308,0.2474684238840903,0.5044324830109308,0.2474684238840903,0.024650337397103185
有效性,gpt5,0.02643413057543398,0.5044324830109308,0.2474684238840903,0.5044324830109308,0.2474684238840903,0.024650337397103185
有效性,grok4,4.1327075067828647e-17,0.5044324830109308,0.2474684238840903,0.5044324830109308,0.2474684238840903,0.024650337397103185
