CVEID,成因一级分类,成因二级分类,成因三级分类,
CVE-2017-1000056,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2017-1000056,CWE-862,CWE-862: Missing Authorization"
CVE-2018-0268,配置错误,1.3 默认不安全配置,1.3.1 默认未启用认证,"CVE-2018-0268,CWE-358,CWE-358: Improperly Restricted Operations on Dynamically Identified Resources"
CVE-2018-1000400,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2018-1000400,CWE-270,Privilege Context Switching Error"
CVE-2018-5256,配置错误,1.3 默认不安全配置,1.3.1 默认未启用认证,"CVE-2018-5256,CWE-200,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor"
CVE-2019-10165,敏感信息泄露,3.1 日志记录敏感信息,,"CVE-2019-10165,CWE-532,CWE-532: Insertion of Sensitive Information into Log File"
CVE-2019-11247,安全逻辑缺陷,2.1 访问控制缺陷,2.1.2 资源作用域混淆,"CVE-2019-11247,CWE-20 | CWE-863,CWE-20: Improper Input Validation | CWE-863: Incorrect Authorization"
CVE-2019-3869,敏感信息泄露,3.3 配置暴露敏感信息,,"CVE-2019-3869,CWE-214 | CWE-200,CWE-214: Improper Removal of Sensitive Information Before Storage/Transmission | CWE-200: Exposure of Sensitive Information to an Unauthorized Actor"
CVE-2020-15257,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2020-15257,CWE-669,CWE-669: Incorrect Resource Transfer Between Spheres"
CVE-2020-1742,配置错误,1.1 权限配置过宽,1.1.3 组件默认高权限配置,"CVE-2020-1742,CWE-266 | CWE-732,CWE-266: Incorrect Privilege Assignment | CWE-732: Incorrect Permission Assignment for Critical Resource"
CVE-2020-4062,配置错误,1.2 网络隔离不足,1.2.1 敏感服务端口暴露,"CVE-2020-4062,CWE-284 | NVD-CWE-Other,CWE-284: Improper Access Control"
CVE-2020-8559,安全逻辑缺陷,2.4 输入验证不足,2.4.1 HTTP头验证不足,"CVE-2020-8559,CWE-601,CWE-601: URL Redirection to Untrusted Site"
CVE-2021-41254,代码注入,4.1 命令注入,,"CVE-2021-41254,CWE-78,CWE-78: Improper Neutralization of Special Elements used in an OS Command"
CVE-2021-43858,安全逻辑缺陷,2.3 授权验证不完善,2.3.2 特权操作验证缺失,"CVE-2021-43858,CWE-269 | CWE-863,CWE-269: Improper Access Control (Generic) | CWE-863: Incorrect Authorization"
CVE-2022-1902,敏感信息泄露,3.2 API暴露敏感信息,,"CVE-2022-1902,CWE-497 | CWE-668,CWE-497: Exposure of Sensitive System Information to an Unauthorized Control Sphere | CWE-668: Exposure of Resource to Wrong Sphere"
CVE-2022-21701,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2022-21701,CWE-863,CWE-863: Incorrect Authorization"
CVE-2022-23652,安全逻辑缺陷,2.4 输入验证不足,2.4.1 HTTP头验证不足,"CVE-2022-23652,CWE-287,CWE-287: Improper Authentication"
CVE-2022-24730,代码注入,4.2 路径遍历,,"CVE-2022-24730,CWE-22 | CWE-284 | CWE-863,CWE-22: Improper Limitation of a Pathname to a Restricted Directory | CWE-284: Improper Access Control | CWE-863: Incorrect Authorization"
CVE-2022-24768,安全逻辑缺陷,2.1 访问控制缺陷,2.1.1 权限验证逻辑错误,"CVE-2022-24768,CWE-200 | CWE-862,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor | CWE-862: Missing Authorization"
CVE-2022-24817,代码注入,4.1 命令注入,,"CVE-2022-24817,CWE-94,CWE-94: Improper Control of Generation of Code"
CVE-2022-24877,代码注入,4.2 路径遍历,,"CVE-2022-24877,CWE-22 | CWE-36,CWE-22: Improper Limitation of a Pathname to a Restricted Directory | CWE-36: Absolute Path Traversal"
